inst#,actual,predicted,probability
1,2:NO,2:NO,0.924
2,1:YES,1:YES,0.063
3,2:NO,2:NO,0.786
4,2:NO,2:NO,0.924
5,1:YES,1:YES,0.077
6,2:NO,2:NO,0.924
7,2:NO,2:NO,0.9
8,1:YES,2:NO,0.737
9,1:YES,1:YES,0.077
10,2:NO,2:NO,0.737
11,2:NO,2:NO,0.924
12,1:YES,1:YES,0
13,2:NO,2:NO,1
14,1:YES,1:YES,0.071
15,2:NO,2:NO,0.924
16,2:NO,2:NO,0.813
17,1:YES,1:YES,0.071
18,1:YES,1:YES,0.083
19,2:NO,2:NO,0.786
20,2:NO,1:YES,0.077
21,1:YES,1:YES,0.083
22,2:NO,2:NO,0.924
23,2:NO,2:NO,0.924
24,1:YES,1:YES,0
25,1:YES,2:NO,0.924
26,2:NO,2:NO,0.924
27,2:NO,2:NO,0.924
28,1:YES,2:NO,0.737
29,1:YES,1:YES,0
30,1:YES,1:YES,0.077
31,2:NO,2:NO,0.9
32,2:NO,2:NO,1
33,1:YES,1:YES,0.077
34,2:NO,2:NO,1
35,2:NO,2:NO,1
36,2:NO,2:NO,0.924
37,2:NO,2:NO,0.924
38,2:NO,2:NO,0.924
39,2:NO,2:NO,0.786
40,1:YES,1:YES,0
41,1:YES,1:YES,0.071
42,2:NO,2:NO,0.924
43,1:YES,1:YES,0.071
44,2:NO,2:NO,0.968
45,1:YES,1:YES,0.077
46,2:NO,2:NO,0.737
47,2:NO,2:NO,0.889
48,1:YES,2:NO,0.889
49,1:YES,2:NO,0.889
50,2:NO,2:NO,0.9
51,2:NO,2:NO,0.924
52,2:NO,2:NO,0.924
53,2:NO,2:NO,0.968
54,1:YES,1:YES,0.077
55,1:YES,1:YES,0.077
56,2:NO,2:NO,0.813
57,1:YES,1:YES,0.083
58,2:NO,2:NO,0.924
59,2:NO,2:NO,0.968
60,1:YES,1:YES,0.063
61,2:NO,2:NO,0.813
62,1:YES,1:YES,0
63,2:NO,2:NO,1
64,2:NO,2:NO,0.924
65,1:YES,1:YES,0.077
66,2:NO,2:NO,0.924
67,2:NO,2:NO,0.924
68,1:YES,1:YES,0.077
69,2:NO,2:NO,0.889
70,1:YES,2:NO,0.968
71,1:YES,1:YES,0.083
72,1:YES,1:YES,0.077
73,1:YES,2:NO,0.924
74,1:YES,1:YES,0.077
75,2:NO,2:NO,0.9
76,1:YES,1:YES,0.071
77,1:YES,1:YES,0.118
78,1:YES,1:YES,0.077
79,2:NO,2:NO,1
80,1:YES,2:NO,0.889
81,2:NO,2:NO,0.9
82,1:YES,1:YES,0.083
83,2:NO,2:NO,0.889
84,2:NO,2:NO,1
85,1:YES,1:YES,0
86,2:NO,2:NO,0.924
87,1:YES,1:YES,0.071
88,1:YES,1:YES,0.077
89,1:YES,1:YES,0
90,1:YES,2:NO,0.813
91,2:NO,2:NO,0.924
92,2:NO,2:NO,0.923
93,2:NO,2:NO,0.924
94,2:NO,2:NO,0.889
95,1:YES,1:YES,0.077
96,1:YES,1:YES,0.077
97,1:YES,1:YES,0.077
98,1:YES,1:YES,0.083
99,2:NO,2:NO,0.923
100,2:NO,2:NO,0.9
101,1:YES,2:NO,0.813
102,2:NO,2:NO,0.968
103,2:NO,2:NO,0.889
104,2:NO,2:NO,0.924
105,1:YES,2:NO,0.924
106,1:YES,1:YES,0.077
107,2:NO,2:NO,0.813
108,2:NO,2:NO,0.786
109,2:NO,2:NO,0.737
110,2:NO,1:YES,0.063
111,1:YES,1:YES,0
112,1:YES,1:YES,0.083
113,1:YES,1:YES,0.083
114,1:YES,1:YES,0.071
115,2:NO,2:NO,0.786
116,2:NO,2:NO,0.889
117,1:YES,1:YES,0.063
118,1:YES,1:YES,0
119,2:NO,2:NO,0.924
120,1:YES,2:NO,0.924
121,1:YES,1:YES,0.077
122,1:YES,1:YES,0.118
123,2:NO,2:NO,0.813
124,1:YES,1:YES,0
125,1:YES,1:YES,0.077
126,1:YES,1:YES,0
127,1:YES,1:YES,0
128,2:NO,2:NO,0.813
129,1:YES,1:YES,0.077
130,1:YES,1:YES,0
131,2:NO,2:NO,0.786
132,2:NO,2:NO,0.9
133,2:NO,1:YES,0.118
134,2:NO,1:YES,0.071
135,2:NO,2:NO,0.9
136,2:NO,2:NO,0.813
137,1:YES,1:YES,0.077
138,2:NO,2:NO,0.889
139,2:NO,2:NO,0.924
140,1:YES,1:YES,0.071
141,1:YES,1:YES,0.077
142,1:YES,1:YES,0
143,2:NO,2:NO,0.924
144,1:YES,1:YES,0.077
145,1:YES,1:YES,0.071
146,2:NO,2:NO,0.924
147,2:NO,1:YES,0.071
148,2:NO,2:NO,0.968
149,2:NO,2:NO,0.924
150,1:YES,1:YES,0.077
151,2:NO,2:NO,0.9
152,2:NO,2:NO,0.889
153,1:YES,2:NO,0.737
154,2:NO,2:NO,0.968
155,2:NO,2:NO,0.924
156,2:NO,2:NO,0.924
157,1:YES,1:YES,0.077
158,1:YES,2:NO,0.924
159,2:NO,2:NO,1
160,2:NO,2:NO,0.889
161,1:YES,1:YES,0
162,2:NO,2:NO,0.813
163,2:NO,2:NO,0.923
164,2:NO,2:NO,0.737
165,1:YES,1:YES,0.077
166,2:NO,2:NO,0.889
167,1:YES,1:YES,0.077
168,1:YES,1:YES,0.083
169,2:NO,2:NO,0.924
170,2:NO,2:NO,0.786
171,2:NO,2:NO,0.889
172,1:YES,2:NO,0.737
173,2:NO,2:NO,0.924
174,1:YES,1:YES,0
175,2:NO,2:NO,0.9
176,2:NO,1:YES,0
177,2:NO,2:NO,0.924
178,1:YES,2:NO,0.924
179,2:NO,2:NO,0.924
180,1:YES,1:YES,0